,国家中,国家英,新增确诊,总确诊,疑似,死亡,治愈,现有确诊,国家中文,国家英文
155,摩纳哥,Monaco,0,98,0,4,90,98,,
156,巴巴多斯,Barbados,0,92,0,7,76,92,,
157,科摩罗,Comoros,0,87,0,2,24,87,,
158,列支敦士登公国,Liechtenstein,0,82,0,1,55,82,,
159,安哥拉,Angola,3,74,0,4,18,74,,
160,布隆迪,Burundi,0,42,0,1,20,42,,
161,厄立特里亚,Eritrea,0,39,0,0,39,39,,
162,马提尼克岛,Martinique,0,37,0,1,0,37,,
163,博茨瓦纳,Botswana,0,35,0,1,20,35,,
164,不丹,Bhutan,0,31,0,0,6,31,,
165,冈比亚,Gambia,0,25,0,1,19,25,,
166,圣文森特和格林纳丁斯,Saint Vincent and the Grenadines,0,25,0,0,14,25,,
167,安提瓜和巴布达,Antigua and Barbuda,0,25,0,3,19,25,,
168,东帝汶,Timor-Leste,0,24,0,0,24,24,,
169,格林纳达,Grenada,0,23,0,0,18,23,,
170,纳米比亚,Namibia,1,23,0,0,14,23,,
171,老挝,Laos,0,19,0,0,16,19,,
172,伯利兹,Belize,0,18,0,2,16,18,,
173,斐济,Fiji,0,18,0,0,15,18,,
174,圣卢西亚,Saint Lucia,0,18,0,0,18,18,,
175,多米尼克,多米尼克,0,16,0,0,16,16,,
176,圣基茨和尼维斯,Saint Kitts-Nevis,0,15,0,0,15,15,,
177,苏里南,Suriname,0,12,0,1,9,12,,
178,梵蒂冈,Vatican City,0,12,0,0,2,12,,
179,塞舌尔,Seychelles,0,11,0,0,11,11,,
180,巴布亚新几内亚,Papua New Guinea,0,8,0,0,8,8,,
181,莱索托,Lesotho,0,2,0,0,1,2,,
182,,,,84561,5,4645,79793,123,中国,China
