,国家中,国家英,新增确诊,总确诊,疑似,死亡,治愈,现有确诊,国家中文,国家英文
0,美国,United States,26692,1484285,0,88507,326242,1484285,,
1,西班牙,Spain,1721,274367,0,27459,188967,274367,,
2,俄罗斯,Russia,0,262843,0,2418,58226,262843,,
3,英国,United Kingdom,3560,238004,0,34078,1046,238004,,
4,意大利,Italy,789,223885,0,31610,120205,223885,,
5,巴西,Brazil,13784,220291,0,14962,84970,220291,,
6,法国,France,636,179630,0,27532,60562,179630,,
7,德国,Germany,755,175233,0,7897,151597,175233,,
8,土耳其,Turkey,1708,146457,0,4055,106133,146457,,
9,伊朗,Iran,0,116635,0,6902,91836,116635,,
10,印度,India,2868,85940,0,2753,30258,85940,,
11,秘鲁,Peru,3891,84495,0,2392,27147,84495,,
12,加拿大,Canada,1133,75963,0,5680,36908,75963,,
13,比利时,Belgium,0,54644,0,8959,14301,54644,,
14,沙特阿拉伯,Saudi Arabia,0,49176,0,292,21869,49176,,
15,墨西哥,Mexico,2437,45032,0,4767,30451,45032,,
16,荷兰,Netherlands,0,43880,0,5662,159,43880,,
17,智利,Chile,0,39542,0,394,16614,39542,,
18,巴基斯坦,Pakistan,1581,38799,0,834,10880,38799,,
19,厄瓜多尔,Ecuador,965,31467,0,2594,3433,31467,,
20,瑞士,Switzerland,0,30514,0,1878,27100,30514,,
21,卡塔尔,Qatar,0,29425,0,14,3546,29425,,
22,瑞典,Sweden,0,29207,0,3646,4971,29207,,
23,葡萄牙,Portugal,0,28583,0,1190,3328,28583,,
24,白俄罗斯,Belarus,0,27730,0,156,8807,27730,,
25,新加坡,Singapore,0,26891,0,21,7248,26891,,
26,爱尔兰,Ireland,129,23956,0,1518,19470,23956,,
27,阿联酋,United Arab Emirates,0,21831,0,210,7328,21831,,
28,孟加拉,Bangladesh,0,20065,0,298,3882,20065,,
29,波兰,Poland,166,18016,0,907,6918,18016,,
30,乌克兰,Ukraine,0,17330,0,476,4473,17330,,
31,以色列,Israel,0,16589,0,266,12587,16589,,
32,印度尼西亚,Indonesia,0,16496,0,1076,3803,16496,,
33,罗马尼亚,Romania,0,16437,0,1070,9370,16437,,
34,日本本土,Japan,83,16203,0,713,10338,16203,,
35,奥地利,Austria,0,16109,0,628,14471,16109,,
36,哥伦比亚,Colombia,606,14216,0,546,3460,14216,,
37,南非,South Africa,785,13524,0,247,6083,13524,,
38,科威特,Kuwait,0,12860,0,96,3640,12860,,
39,菲律宾,Philippines,0,12091,0,806,2460,12091,,
40,多米尼加,Dominica,419,11739,0,424,3557,11739,,
41,埃及,Egypt,399,11228,0,592,2799,11228,,
42,韩国,Korea,19,11037,0,262,9851,11037,,
43,丹麦,Denmark,0,10989,0,537,9157,10989,,
44,塞尔维亚,Serbia,0,10438,0,225,4301,10438,,
45,巴拿马,Panama,150,9268,0,266,6080,9268,,
46,捷克,Czech,54,8406,0,295,5381,8406,,
47,挪威,Norway,13,8219,0,232,32,8219,,
48,阿根廷,Argentina,345,7479,0,356,2497,7479,,
49,澳大利亚,Australia,17,7037,0,98,6363,7037,,
50,马来西亚,Malaysia,0,6855,0,112,5439,6855,,
51,摩洛哥,Morocco,29,6652,0,190,3400,6652,,
52,阿尔及利亚,Algeria,187,6629,0,536,3271,6629,,
53,巴林,Bahrain,165,6583,0,12,2640,6583,,
54,芬兰,Finland,0,6228,0,293,5000,6228,,
55,阿富汗,Afghanistan,0,6053,0,153,745,6053,,
56,摩尔多瓦,Moldova,192,5745,0,202,2228,5745,,
57,哈萨克斯坦,Kazakhstan,0,5689,0,34,2707,5689,,
58,加纳,Ghana,108,5638,0,28,1460,5638,,
59,尼日利亚,Nigeria,288,5450,0,171,1320,5450,,
60,阿曼,Oman,0,4625,0,20,1350,4625,,
61,亚美尼亚,Armenia,0,4044,0,52,1666,4044,,
62,卢森堡,Luxembourg,8,3923,0,104,3682,3923,,
63,玻利维亚,Bolivia,205,3577,0,164,434,3577,,
64,匈牙利,Hungary,0,3417,0,442,1287,3417,,
65,伊拉克,Iraq,50,3193,0,117,2089,3193,,
66,喀麦隆,Cameroon,151,3105,0,140,1567,3105,,
67,泰国,Thailand,0,3025,0,56,2854,3025,,
68,阿塞拜疆,Azerbaijan,0,2980,0,36,1886,2980,,
69,希腊,Greece,0,2810,0,160,1374,2810,,
70,乌兹别克斯坦,Uzbekistan,34,2686,0,11,2158,2686,,
71,几内亚,Guinea,0,2473,0,15,895,2473,,
72,洪都拉斯,Honduras,142,2460,0,134,264,2460,,
73,塞内加尔,Senegal,0,2310,0,25,890,2310,,
74,波黑,Bosnia and Herzegovina,0,2236,0,128,1336,2236,,
75,克罗地亚,Croatia,0,2222,0,95,1869,2222,,
76,保加利亚,Bulgaria,0,2138,0,102,545,2138,,
77,科特迪瓦,Cote D’Ivoire,46,2017,0,24,942,2017,,
78,苏丹,Sudan,0,1964,0,91,205,1964,,
79,古巴,Cuba,10,1840,0,79,1425,1840,,
80,冰岛,Iceland,0,1802,0,10,1782,1802,,
81,爱沙尼亚,Estonia,0,1766,0,63,923,1766,,
82,北马其顿,The Republic of North Macedonia,0,1740,0,97,1251,1740,,
83,危地马拉,Guatemala,125,1643,0,30,135,1643,,
84,立陶宛,Lithuania,0,1523,0,54,965,1523,,
85,新西兰,New Zealand,0,1498,0,21,1428,1498,,
86,斯洛伐克,Slovakia,0,1480,0,27,1131,1480,,
87,斯洛文尼亚,Slovenia,0,1465,0,103,270,1465,,
88,吉布提,Djibouti,25,1309,0,4,935,1309,,
89,刚果（金）,Congo (Congo-Kinshasa),0,1298,0,50,212,1298,,
90,索马里,Somalia,0,1284,0,53,135,1284,,
91,萨尔瓦多,El Salvador,0,1210,0,25,417,1210,,
92,加蓬,Gabon,105,1209,0,10,219,1209,,
93,塔吉克斯坦,Tajikistan,0,1118,0,33,0,1118,,
94,吉尔吉斯斯坦,Kyrgyzstan,0,1111,0,14,745,1111,,
95,突尼斯,Tunisia,3,1035,0,45,802,1035,,
96,马尔代夫,Maldives,11,1031,0,4,49,1031,,
97,拉脱维亚,Latvia,0,970,0,19,662,970,,
98,斯里兰卡,Sri Lanka,10,935,0,9,477,935,,
99,阿尔巴尼亚,Albania,0,916,0,31,705,916,,
100,几内亚比绍,Guinea-Bissau,0,913,0,3,26,913,,
101,塞浦路斯,Cyprus,3,910,0,17,481,910,,
102,黎巴嫩,Lebanon,0,891,0,26,246,891,,
103,尼日尔,Niger,9,885,0,51,684,885,,
104,哥斯达黎加,Costa Rica,13,843,0,9,542,843,,
105,马里,Mali,27,806,0,46,455,806,,
106,肯尼亚,Kenya,23,781,0,45,284,781,,
107,布基纳法索,Burkina Faso,7,780,0,51,595,780,,
108,安道尔,Andorra,0,761,0,49,604,761,,
109,巴拉圭,Paraguay,5,759,0,11,193,759,,
110,乌拉圭,Uruguay,8,732,0,19,553,732,,
111,钻石号邮轮,钻石号邮轮,0,712,0,13,651,712,,
112,格鲁吉亚,Georgia,0,671,0,12,393,671,,
113,赞比亚,Zambia,0,654,0,7,124,654,,
114,圣马力诺,San Marino,0,652,0,41,189,652,,
115,约旦,Jordan,0,596,0,9,401,596,,
116,赤道几内亚,Equatorial Guinea,11,594,0,7,22,594,,
117,马耳他,Malta,0,532,0,6,458,532,,
118,牙买加,Jamaica,2,511,0,9,121,511,,
119,坦桑尼亚,Tanzania,0,509,0,21,183,509,,
120,委内瑞拉,Venezuela,4,459,0,10,229,459,,
121,塞拉利昂,Sierra Leone,39,447,0,27,97,447,,
122,乍得,Chad,29,428,0,48,88,428,,
123,刚果（布）,刚果（布）,0,391,0,15,87,391,,
124,巴勒斯坦,Palestine,0,375,0,2,315,375,,
125,贝宁,Benin,0,339,0,2,83,339,,
126,毛里求斯,Mauritius,0,332,0,10,322,332,,
127,佛得角,Cape Verde,0,326,0,2,67,326,,
128,黑山,Montenegro,0,324,0,9,311,324,,
129,越南,Vietnam,2,314,0,0,260,314,,
130,海地,Haiti,37,310,0,20,29,310,,
131,中非共和国,中非共和国,158,301,0,0,13,301,,
132,埃塞俄比亚,Ethiopia,0,287,0,5,112,287,,
133,卢旺达,Rwanda,0,287,0,0,177,287,,
134,尼泊尔,Nepal,0,267,0,0,36,267,,
135,多哥,Togo,25,263,0,11,96,263,,
136,马达加斯加,Madagascar,8,238,0,0,112,238,,
137,利比里亚,Liberia,4,219,0,20,108,219,,
138,乌干达,Uganda,43,203,0,0,63,203,,
139,斯威士兰,Swaziland,3,190,0,2,66,190,,
140,缅甸,Myanmar,1,182,0,6,89,182,,
141,文莱,Brunei,0,141,0,1,135,141,,
142,蒙古,Mongolia,37,135,0,0,20,135,,
143,柬埔寨,Cambodia,0,122,0,0,122,122,,
144,莫桑比克,Mozambique,4,119,0,0,42,119,,
145,圭亚那,Guyana,3,116,0,10,43,116,,
146,特立尼达和多巴哥,Trinidad and Tobago,0,116,0,8,107,116,,
147,也门,Yemen,0,106,0,15,1,106,,
148,巴哈马,Bahamas,0,96,0,11,41,96,,
149,摩纳哥,Monaco,0,96,0,4,87,96,,
150,巴巴多斯,Barbados,0,85,0,7,65,85,,
151,列支敦士登公国,Liechtenstein,0,82,0,1,55,82,,
152,利比亚,Libya,0,64,0,3,28,64,,
153,马拉维,Malawi,0,63,0,3,24,63,,
154,叙利亚,Syria,2,50,0,3,36,50,,
155,安哥拉,Angola,0,48,0,2,17,48,,
156,津巴布韦,Zimbabwe,5,42,0,4,13,42,,
157,厄立特里亚,Eritrea,0,39,0,0,39,39,,
158,马提尼克岛,Martinique,0,37,0,1,0,37,,
159,毛里塔尼亚,Mauritania,3,29,0,3,7,29,,
160,安提瓜和巴布达,Antigua and Barbuda,0,25,0,3,19,25,,
161,尼加拉瓜,Nicaragua,0,25,0,8,7,25,,
162,东帝汶,Timor-Leste,0,24,0,0,24,24,,
163,博茨瓦纳,Botswana,0,24,0,1,17,24,,
164,冈比亚,Gambia,0,23,0,1,10,23,,
165,格林纳达,Grenada,1,22,0,0,14,22,,
166,不丹,Bhutan,0,21,0,0,5,21,,
167,老挝,Laos,0,19,0,0,14,19,,
168,伯利兹,Belize,0,18,0,2,16,18,,
169,斐济,Fiji,0,18,0,0,15,18,,
170,圣卢西亚,Saint Lucia,0,18,0,0,18,18,,
171,圣文森特和格林纳丁斯,Saint Vincent and the Grenadines,0,17,0,0,14,17,,
172,纳米比亚,Namibia,0,16,0,0,13,16,,
173,多米尼克,多米尼克,0,16,0,0,15,16,,
174,圣基茨和尼维斯,Saint Kitts-Nevis,0,15,0,0,14,15,,
175,布隆迪,Burundi,0,15,0,1,7,15,,
176,梵蒂冈,Vatican City,0,12,0,0,2,12,,
177,科摩罗,Comoros,0,11,0,1,3,11,,
178,塞舌尔,Seychelles,0,11,0,0,10,11,,
179,苏里南,Suriname,0,10,0,1,9,10,,
180,巴布亚新几内亚,Papua New Guinea,0,8,0,0,8,8,,
181,莱索托,Lesotho,0,1,0,0,0,1,,
182,,,,84478,3,4644,79669,165,中国,China
